Player,Team,Number,Position,Height,Weight,Last Attended,Country
Elgin Baylor,LAL,22.0,F,6-5,225,Seattle,USA
Aron Baynes,DET,46.0,C-F,6-10,260,Washington State,Australia
Sergei Bazarevich,ATL,5.0,G,6-2,168,Tofas S.K.,Russia
Kent Bazemore,SAC,9.0,G-F,6-4,195,Old Dominion,USA
Darius Bazley,PHX,55.0,F,6-9,216,Princeton HS (OH),USA
Ed Beach,ATL,,F,6-3,200,West Virginia,USA
Bradley Beal,WAS,3.0,G,6-4,207,Florida,USA
Butch Beard,NYK,9.0,G,6-3,185,Louisville,USA
Ralph Beard,INO,,G,5-10,175,Kentucky,USA
Jerome Beasley,MIA,24.0,F,6-9,237,North Dakota,USA
Malik Beasley,LAL,5.0,G,6-4,187,Florida State,USA
Michael Beasley,MIA,8.0,F,6-9,235,Kansas State,USA
Zelmo Beaty,ATL,31.0,C,6-9,225,Prairie View A&M,USA
Rodrigue Beaubois,DAL,3.0,G,6-2,185,Cholet,France
Mar JonBeauchamp,MIL,0.0,F,6-7,199,NBA G League Ignite,USA
Byron Beck,DEN,40.0,C,6-9,225,Denver,USA
Corey Beck,CHA,15.0,G,6-3,200,Arkansas,USA
Ernie Beck,GSW,12.0,G,6-4,190,Pennsylvania,USA
Moe Becker,DEF,,,,,Duquesne,USA
William Bedford,DET,0.0,C,7-0,225,Memphis,USA
Hank Beenders,PRO,6.0,C,6-5,185,Long Island-Brooklyn,USA
Ron Behagen,SAC,12.0,F,6-9,185,Minnesota,USA
Elmer Behnke,ATL,,C,6-7,210,Bradley,USA
Marco Belinelli,SAS,18.0,G,6-5,220,Fortitudo Bologna,Italy
Charlie Bell,MIL,34.0,G,6-3,200,Michigan State,USA
Dennis Bell,NYK,46.0,F,6-5,185,Drake,USA
Jordan Bell,CHI,7.0,F,6-8,216,Oregon,USA
Raja Bell,PHX,19.0,G,6-5,210,Florida International,US Virgin Islands
Troy Bell,MEM,3.0,G,6-1,180,Boston College,USA
William Bell,NYK,15.0,G,6-0,180,North Carolina State,USA
Walt Bellamy,ATL,8.0,C,6-10,225,Indiana,USA
De Andre'Bembry,MIL,95.0,G-F,6-5,210,St. Joseph's (PA),USA
Irv Bemoras,ATL,26.0,F,6-3,185,Illinois,USA
Leon Benbow,CHI,5,G,6-4,185,Jacksonville,USA
