Player,Team,Number,Position,Height,Weight,Last Attended,Country
Kyle Korver,PHI,26.0,G-F,6-7,212,Creighton,USA
Len Kosmalski,SAC,55.0,C,6-11,245,Tennessee,USA
Andy Kostecka,JET,,F,6-3,203,Georgetown,USA
Harold Kottman,BOS,9.0,C,6-8,220,Culver-Stockton,USA
Kosta Koufos,SAC,41.0,C,7-0,245,Ohio State,USA
Tom Kozelko,WAS,22.0,F,6-8,220,Toledo,USA
Arvid Kramer,DEN,41.0,C,6-9,220,Augustana (SD),USA
Barry Kramer,GSW,21.0,F,6-4,200,New York University,USA
Joel Kramer,PHX,50.0,F,6-7,203,San Diego State,USA
Dan Kraus,BAL,,G,6-0,195,Georgetown,USA
Herb Krautblatt,BAL,,G,6-1,190,Rider,USA
Viacheslav Kravtsov,DET,55.0,C,6-11,247,Donetsk,Ukraine
Jim Krebs,LAL,32.0,C,6-8,230,Southern Methodist,USA
Vit Krejci,ATL,27.0,G,6-8,195,Zaragoza,Czech Republic
Wayne Kreklow,BOS,20.0,G,6-4,175,Drake,USA
Tom Kron,OKC,11.0,G,6-5,200,Kentucky,USA
Tom Kropp,CHI,44.0,G,6-3,205,Nebraska-Kearney,USA
Nenad Krstic,BKN,4.0,C,7-0,240,Partizan,Serbia
Larry Krystkowiak,MIL,42.0,F,6-9,220,Montana,USA
Steve Kuberski,BOS,33.0,F,6-8,215,Bradley,USA
Leo Kubiak,WAT,,G,5-11,160,Bowling Green,USA
Bruce Kuczenski,BKN,7.0,F,6-10,230,Connecticut,USA
Frank Kudelka,BAL,14.0,G,6-2,193,St. Mary's (CA),USA
John Kuester,SAC,5.0,G,6-2,180,North Carolina,USA
Ray Kuka,NYK,12.0,F,6-3,200,Notre Dame,USA
Toni Kukoc,CHI,7.0,F,6-11,235,Benetton Treviso,Croatia
Arnoldas Kulboka,CHA,98.0,F,6-10,209,Bilbao,Lithuania
Jonathan Kuminga,GSW,0.0,F,6-7,225,NBA G League Ignite,DRC
Kevin Kunnert,HOU,44.0,C,7-0,230,Iowa,USA
Mitch Kupchak,WAS,25.0,F,6-9,230,North Carolina,USA
Charles Kupec,LAL,25.0,C,6-6,220,Michigan,USA
Rodions Kurucs,BKN,0.0,F,6-9,228,FC Barcelona,Latvia
Rob Kurz,GSW,31.0,F,6-9,232,Notre Dame,USA
Ibrahim Kutluay,OKC,11.0,G,6-6,200,Ulkerspor,Turkey
Kyle Kuzma,WAS,33.0,F,6-9,221,Utah,USA
Ognjen Kuzmic,GSW,1.0,C,7-0,260,Malaga,Serbia
Mindaugas Kuzminskas,NYK,91.0,F,6-9,215,Malaga,Lithuania
Fred LaCour,ATL,12.0,G,6-5,210,San Francisco,USA
Raef LaFrentz,DEN,9.0,C-F,6-11,240,Kansas,USA
Tom LaGarde,DAL,34.0,C,6-10,220,North Carolina,USA
Jake LaRavia,MEM,3.0,F,6-7,235,Wake Forest,USA
Rusty LaRue,CHI,5.0,G,6-3,185,Wake Forest,USA
Rudy LaRusso,LAL,35.0,F,6-8,220,Dartmouth,USA
Zach LaVine,CHI,8.0,G,6-5,200,UCLA,USA
Skal Labissiere,SAC,7.0,F-C,6-10,235,Kentucky,Haiti
Sam Lacey,SAC,44.0,C,6-10,235,New Mexico State,USA
Christian Laettner,MIN,44.0,F-C,6-11,245,Duke,USA
Oliver Lafayette,BOS,0.0,G,6-2,190,Houston,USA
Bill Laimbeer,DET,40.0,C,6-11,245,,USA
Pete Lalich,CLR,,F,6-2,190,Ohio,USA
Bo Lamar,LAL,11.0,G,6-1,180,Louisiana-Lafayette,USA
Anthony Lamb,GSW,40.0,F,6-6,227,Vermont,USA
Doron Lamb,ORL,1.0,G,6-4,200,Kentucky,USA
Jeremy Lamb,SAC,26.0,G-F,6-5,180,Connecticut,USA
John Lambert,CLE,24.0,C,6-10,225,Southern California,USA
Jeff Lamp,POR,3.0,G,6-6,195,Virginia,USA
Maciej Lampe,PHX,15,F,6-11,275,Real Madrid,Poland
Jim Lampley,PHI,11,F,6-10,230,Arkansas-Little Rock,USA
Sean Lampley,MIA,21,F,6-7,227,California,USA
Jock Landale,PHX,11,C,6-11,255,St. Mary's,Australia
Carl Landry,SAC,7,F,6-9,248,Purdue,USA
Marcus Landry,NYK,7,F,6-7,235,Wisconsin,USA
Mark Landsberger,LAL,54,F,6-8,215,Arizona State,USA
Jerome Lane,DEN,30,F,6-6,230,Pittsburgh,USA
Andrew Lang,PHX,28,C,6-11,275,Arkansas,USA
Antonio Lang,CLE,21,F,6-8,230,Duke,USA
James Lang,WAS,52,C,6-10,305,Central Park Christian HS (AL),USA
Trajan Langdon,CLE,21,G,6-3,197,Duke,USA
Keith Langford,SAS,3,G,6-4,215,Kansas,USA
Romeo Langford,SAS,35,G-F,6-5,216,Indiana,USA
Dan Langhi,HOU,14,F,6-11,220,Vanderbilt,USA
Bob Lanier,DET,16,C,6-11,250,St. Bonaventure,USA
Stu Lantz,HOU,23,G,6-3,175,Nebraska,USA
Nicolas Laprovittola,SAS,27,G,6-4,180,Estudiantes,Argentina
York Larese,GSW,34,G,6-4,183,North Carolina,USA
Shane Larkin,BKN,8,G,5-11,175,Miami,USA
John Laskowski,CHI,31,G,6-6,185,Indiana,USA
Stephane Lasme,MIA,45,F,6-8,215,Massachusetts,Gabon
Dave Lattin,PHX,43,F,6-6,225,Texas-El Paso,USA
Priest Lauderdale,DEN,30,C,7-4,325,Peristeri,USA
Rich Laurel,MIL,5-12,G,6-6,190,Hofstra,USA
Walt Lautenbach,SHE,,F,6-2,185,Wisconsin,USA
Joffrey Lauvergne,DEN,77,C,6-11,260,Khimki,France
Tony Lavelli,BOS,6-16,F,6-3,185,Yale,USA
Bob Lavoy,INO,16,F,6-7,185,Western Kentucky,USA
Acie Law,ATL,2,G,6-3,202,Texas A&M,USA
Vic Law,ORL,23,F,6-7,201,Northwestern,USA
Gani Lawal,PHX,31,F,6-9,234,Georgia Tech,USA
Ed Lawrence,DET,,C,6-11,228,McNeese State,USA
A. J.Lawson,DAL,9,G,6-6,179,South Carolina,Canada
Jason Lawson,ORL,55,C,6-11,240,Villanova,USA
Ty Lawson,DEN,4,G,5-11,195,North Carolina,USA
Jake Layman,BOS,10,F,6-8,209,Maryland,USA
Dennis Layton,PHX,1,G,6-1,180,Southern California,USA
Caris LeVert,CLE,3,G,6-6,205,Michigan,USA
T. J.Leaf,IND,18,F,6-10,222,UCLA,USA
Emanuel Leaks,PHI,24,C,6-8,225,Niagara,USA
Hal Lear,GSW,16,G,5-11,163,Temple,USA
Allen Leavell,HOU,30,G,6-1,170,Oklahoma City,USA
Jeff Lebo,SAS,12,F,6-2,180,North Carolina,USA
Eric Leckner,UTA,55,C,6-11,265,Wyoming,USA
Jalen Lecque,PHX,0,G,6-4,185,Brewster Academy (NH),USA
Ricky Ledo,DAL,11,G,6-7,195,Providence,USA
Butch Lee,ATL,15,G,6-0,185,Marquette,USA
Clyde Lee,GSW,34,F,6-10,205,Vanderbilt,USA
Courtney Lee,MEM,1,G,6-5,215,Western Kentucky,USA
Damion Lee,PHX,10.0,G-F,6-5,210,Drexel,USA
David Lee,NYK,10.0,F-C,6-9,245,Florida,USA
Doug Lee,BKN,20.0,G,6-5,200,Purdue,USA
George Lee,DET,9.0,F,6-4,200,Michigan,USA
Greg Lee,POR,42.0,G,6-3,190,UCLA,USA
Keith Lee,CLE,24.0,F,6-10,215,Memphis,USA
Kurk Lee,BKN,20.0,G,6-3,190,Towson,USA
Malcolm Lee,MIN,8.0,G,6-5,200,UCLA,USA
Rock Lee,LAC,34.0,C,6-10,220,San Diego State,USA
Ron Lee,PHX,30.0,G,6-3,193,Oregon,USA
Russell Lee,MIL,11.0,F,6-5,185,Marshall,USA
Saben Lee,PHX,38.0,G,6-2,183,Vanderbilt,USA
Ed Leede,BOS,5.0,G,6-3,185,Dartmouth,USA
Hank Lefkowitz,CLR,,F,6-2,190,Case Western Reserve,USA
Tim Legler,WAS,23.0,G,6-4,220,La Salle,USA
George Lehmann,ATL,20.0,G,6-0,180,Campbell,USA
Walt Lemon Jr.,CHI,25.0,G,6-3,180,Bradley,USA
Alex Len,SAC,25.0,C,7-2,250,Maryland,Ukraine
Voshon Lenard,MIA,0.0,G,6-4,215,Minnesota,USA
Bob Leonard,LAL,21.0,G,6-3,185,Indiana,USA
Gary Leonard,MIN,34.0,C,7-1,250,Missouri,USA
Kawhi Leonard,LAC,2.0,F,6-7,225,San Diego State,USA
Meyers Leonard,MIL,3.0,F-C,7-0,260,Illinois,USA
Jim Les,SAC,14.0,G,5-11,165,Bradley,USA
Travis Leslie,LAC,23.0,G,6-4,205,Georgia,USA
Ronnie Lester,CHI,12.0,G,6-2,175,Iowa,USA
Clifford Lett,SAS,11.0,G,6-3,170,Florida,USA
Jon Leuer,MEM,30.0,F,6-10,228,Wisconsin,USA
Andrew Levane,PHI,3.0,F,6-2,190,St. John's (NY),USA
Lafayette Lever,DEN,21.0,G,6-3,170,Arizona State,USA
Cliff Levingston,ATL,53.0,F,6-8,210,Wichita State,USA
Bobby Lewis,GSW,5.0,G,6-3,175,North Carolina,USA
Cedric Lewis,WAS,42.0,F,6-10,235,Maryland,USA
Fred Lewis,BAL,,F,6-2,195,Eastern Kentucky,USA
Freddie Lewis,IND,1.0,G,6-0,175,Arizona State,USA
Grady Lewis,DEF,,F,6-7,215,Oklahoma,USA
Justin Lewis,CHI,34.0,F,6-7,245,Marquette,USA
Martin Lewis,TOR,32.0,F,6-6,225,Seward County CC,USA
Quincy Lewis,UTA,20.0,G-F,6-7,215,Minnesota,USA
Ralph Lewis,DET,11.0,G,6-6,200,La Salle,USA
Rashard Lewis,OKC,9.0,F,6-10,235,Elsik HS (TX),USA
Reggie Lewis,BOS,35.0,G,6-7,195,Northeastern,USA
Scottie Lewis,CHA,16.0,G,6-5,185,Florida,USA
Kira Lewis Jr.,NOP,13.0,G,6-1,170,Alabama,USA
Marcus Liberty,DEN,30.0,F,6-8,205,Illinois,USA
Todd Lichti,DEN,30.0,G,6-4,205,Stanford,USA
E. J.Liddell,NOP,32.0,F,6-6,240,Ohio State,USA
De AndreLiggins,CLE,34.0,G,6-6,209,Kentucky,USA
Bill Ligon,DET,26.0,G,6-4,180,Vanderbilt,USA
Damian Lillard,POR,0.0,G,6-2,195,Weber State,USA
Jeremy Lin,HOU,17,G,6-3,200,Harvard,USA
Steve Lingenfelter,WAS,25,F,6-9,225,South Dakota State,USA
Alton Lister,MIL,53,C-F,7-0,245,Arizona State,USA
Nassir Little,POR,10,F-G,6-5,220,North Carolina,USA
Isaiah Livers,DET,12,F,6-6,232,Michigan,USA
Randy Livingston,PHX,14,G,6-4,209,Louisiana State,USA
Shaun Livingston,GSW,34,G,6-7,192,No College,USA
Ron Livingstone,GSW,6,C,6-10,220,Wyoming,USA
Horacio Llamas,PHX,54,C,6-11,285,Grand Canyon,USA
Earl Lloyd,PHI,17,F,6-6,200,West Virginia State,USA
Lewis Lloyd,HOU,32,G,6-6,205,Drake,USA
Scott Lloyd,DAL,44,C,6-10,230,Arizona State,USA
Bob Lochmueller,PHI,14,F,6-5,185,Louisville,USA
Robert Lock,LAC,44,F,6-9,225,Kentucky,USA
Darrell Lockhart,SAS,32,F,6-9,245,Auburn,USA
Ian Lockhart,PHX,51,F,6-8,240,Tennessee,USA
Kevin Loder,SAC,9,F,6-6,205,Alabama State,USA
Don Lofgran,INO,8,F,6-5,200,San Francisco,USA
Zach Lofton,DET,18,G,6-4,180,New Mexico State,USA
Kenneth Lofton Jr.,MEM,6,F,6-6,275,Louisiana Tech,USA
Johnny Logan,BOM,17,G,6-2,175,Indiana,USA
Brad Lohaus,MIL,54,F-C,6-11,230,Iowa,USA
Art Long,OKC,35,F,6-9,250,Cincinnati,USA
Grant Long,MIA,43,F,6-9,250,Eastern Michigan,USA
John Long,DET,25,G,6-5,200,Detroit,USA
Paul Long,DET,5,G,6-2,180,Wake Forest,USA
Shawn Long,PHI,36,F,6-9,255,Louisiana-Lafayette,USA
Luc Longley,CHI,13,C,7-2,260,New Mexico,USA
Kevon Looney,GSW,5,F,6-9,222,UCLA,USA
Brook Lopez,MIL,11,C,7-1,282,Stanford,USA
Felipe Lopez,MEM,13,G-F,6-5,195,St. John's (NY),Dominican Republic
Raul Lopez,UTA,24,G,6-0,160,Real Madrid,Spain
Robin Lopez,CLE,33,C,7-0,281,Stanford,USA
Ryan Lorthridge,GSW,9-33,G,6-4,190,Jackson State,USA
Jim Loscutoff,BOS,18,F,6-5,220,Oregon,USA
Plummer Lott,OKC,43,F,6-5,210,Seattle,USA
Kevin Loughery,WAS,22,G,6-3,190,St. John's (NY),USA
Didi Louzada,POR,35,G,6-5,188,Sydney Kings,Brazil
Bob Love,CHI,10,F,6-8,215,Southern,USA
Kevin Love,MIA,0,F-C,6-8,251,UCLA,USA
Stan Love,WAS,34,F,6-9,215,Oregon,USA
Clyde Lovellette,LAL,34,C,6-9,234,Kansas,USA
Sidney Lowe,MIN,35,G,6-0,195,North Carolina State,USA
Chuck Lowery,MIL,6,G,6-3,185,Puget Sound,USA
Kyle Lowry,MIA,7,G,6-0,196,Villanova,USA
Jordan Loyd,TOR,8,G,6-4,210,Indianapolis,USA
Al Lucas,BOS,20,F,6-3,195,Fordham,USA
Jerry Lucas,SAC,32,F,6-8,230,Ohio State,USA
John Lucas,HOU,10,G,6-3,175,Maryland,USA
Kalin Lucas,MEM,24,G,6-1,195,Michigan State,USA
Maurice Lucas,POR,20.0,F,6-9,215,Marquette,USA
John Lucas III,TOR,9.0,G,5-11,166,Oklahoma State,USA
Ted Luckenbill,GSW,12.0,F,6-6,205,Houston,USA
Tyronn Lue,ATL,10.0,G,6-0,175,Nebraska,USA
Jim Luisi,BAL,,G,6-2,180,St. Francis (NY),USA
Al Lujack,WAS,,F,6-3,220,Georgetown,USA
Phil Lumpkin,POR,10.0,G,6-0,165,Miami (Ohio),USA
Ray Lumpp,NYK,7.0,G,6-1,178,New York University,USA
Gabriel Lundberg,PHX,19.0,G,6-4,203,CSKA Moscow,Denmark
Timothe Luwawu-Cabarrot,PHX,7.0,G-F,6-7,215,Mega Basket,France
Tyler Lydon,DEN,20.0,F,6-10,225,Syracuse,USA
Trey Lyles,SAC,41.0,F,6-9,234,Kentucky,Canada
George Lynch,NOP,9.0,F,6-8,235,North Carolina,USA
Kevin Lynch,CHA,9.0,F,6-5,195,Minnesota,USA
Mike Lynn,LAL,25.0,F,6-7,215,UCLA,USA
Sheldon Mac,WAS,9.0,G-F,6-6,200,Miami,USA
Todd MacCulloch,PHI,11.0,C,7-0,280,Washington,Canada
Ronnie MacGilvray,ATL,8.0,G,6-2,185,St. John's (NY),USA
Don MacLean,WAS,24.0,F,6-10,235,UCLA,USA
Mike Macaluso,LAC,21.0,F,6-5,210,Canisius,USA
Ed Macauley,BOS,22.0,C,6-8,185,St. Louis,USA
Scott Machado,HOU,1.0,G,6-1,205,Iona,USA
Arvydas Macijauskas,NOP,6.0,G,6-4,214,Tau Ceramica,Lithuania
Ollie Mack,DAL,17.0,G,6-3,185,East Carolina,USA
Sam Mack,HOU,7.0,G-F,6-7,220,Houston,USA
Shelvin Mack,ATL,6.0,G,6-3,203,Butler,USA
Malcolm Mackey,PHX,27.0,F,6-9,248,Georgia Tech,USA
Rudy Macklin,ATL,41.0,F,6-7,205,Louisiana State,USA
Vernon Macklin,DET,20.0,F,6-10,227,Florida,USA
Johnny Macknowski,PHI,5.0,G,6-1,180,Seton Hall,USA
Daryl Macon,DAL,3.0,G,6-3,185,Arkansas,USA
Mark Macon,DEN,2.0,G,6-4,185,Temple,USA
J. P.Macura,CHA,55.0,G,6-5,205,Xavier,USA
Kyle Macy,PHX,44.0,G,6-3,175,Kentucky,USA
Jack Maddox,JET,,F,6-2,185,West Texas A&M,USA
Tito Maddox,HOU,6.0,G,6-4,190,Fresno State,USA
Gerald Madkins,CLE,12.0,G,6-4,200,UCLA,USA
Mark Madsen,MIN,35.0,F,6-9,255,Stanford,USA
Norm Mager,BAL,,F,6-5,185,City College of New York,USA
Josh Magette,ATL,11.0,G,6-1,160,Alabama Huntsville,USA
Corey Maggette,LAC,50.0,F,6-6,225,Duke,USA
Dave Magley,CLE,30.0,F,6-8,202,Kansas,USA
Jamaal Magloire,NOP,21.0,C,6-11,265,Kentucky,Canada
Will Magnay,NOP,25.0,C,6-10,234,,Australia
Ian Mahinmi,IND,28.0,C,6-11,262,Pau Orthez,France
John Mahnken,BOS,16.0,C,6-8,220,Georgetown,USA
Francis Mahoney,BOS,19.0,F,6-2,205,Brown,USA
Rick Mahorn,WAS,4.0,F,6-10,260,Hampton,USA
Dan Majerle,PHX,9.0,G-F,6-6,222,Central Michigan,USA
Renaldo Major,GSW,12.0,F,6-7,190,Fresno State,USA
Thon Maker,MIL,7.0,F-C,7-0,221,Athlete Institute Prep,South Sudan
Lionel Malamed,JET,,,,,City College of New York,USA
Theo Maledon,CHA,9.0,G,6-5,175,Asvel,France
Jeff Malone,WAS,25.0,G,6-4,205,Mississippi State,USA
Karl Malone,UTA,32.0,F,6-9,259,Louisiana Tech,USA
Moses Malone,HOU,24.0,C,6-10,215,Petersburg HS (VA),USA
Matt Maloney,HOU,12.0,G,6-3,200,Pennsylvania,USA
Steve Malovic,LAC,,F,6-10,230,San Diego State,USA
Sandro Mamukelashvili,SAS,54.0,F-C,6-10,240,Seton Hall,Georgia
Ted Manakas,SAC,23.0,G,6-2,180,Princeton,USA
John Mandic,JET,,F,6-4,205,Oregon State,USA
Karim Mane,ORL,4.0,G,6-3,190,-,Senegal
Frank Mangiapane,NYK,5.0,G,5-10,195,New York University,USA
Marcus Mann,GSW,34.0,F,6-8,245,Mississippi Valley State,USA
Terance Mann,LAC,14.0,G-F,6-5,215,Florida State,USA
Tre Mann,OKC,23.0,G,6-3,178,Florida,USA
Danny Manning,LAC,15.0,F-C,6-10,244,Kansas,USA
Ed Manning,WAS,35.0,F,6-7,210,Jackson State,USA
Richard Manning,MEM,50.0,C,6-11,245,Washington,USA
Nico Mannion,GSW,2.0,G,6-2,190,Arizona,Italy
Pace Mannion,UTA,5.0,G,6-7,190,Utah,USA
Nick Mantis,WAS,23.0,G,6-3,190,Northwestern,USA
Pete Maravich,UTA,7.0,G,6-5,197,Louisiana State,USA
Peter Maravich,PIT,,G,6-0,185,Davis & Elkins,USA
Devyn Marble,ORL,11.0,F,6-6,200,Iowa,USA
Roy Marble,ATL,5.0,G,6-6,190,Iowa,USA
Stephon Marbury,NYK,8.0,G,6-2,205,Georgia Tech,USA
Sarunas Marciulionis,CLE,78.0,G,6-5,200,Statyba,Lithuania
Saul Mariaschin,BOS,4.0,G,5-11,165,Harvard,USA
Jack Marin,WAS,24.0,F,6-6,200,Duke,USA
Shawn Marion,PHX,31.0,G-F,6-7,228,UNLV,USA
Boban Marjanovic,HOU,51.0,C,7-4,290,Crvena zvezda,Serbia
Lauri Markkanen,UTA,23.0,F-C,7-0,240,Arizona,Finland
Damir Markota,MIL,52.0,F,6-10,225,Cibona,Croatia
Sean Marks,NOP,4.0,F-C,6-10,250,California,New Zealand
Harvey Marlatt,DET,26.0,G,6-3,185,Eastern Michigan,USA
Eric Marsh,GSW,21.0,G,6-3,200,Manhattan,USA
Jim Marsh,POR,41.0,F,6-7,215,Southern California,USA
Donny Marshall,CLE,13.0,F,6-7,230,Connecticut,USA
Donyell Marshall,GSW,8.0,F,6-9,245,Connecticut,USA
Kendall Marshall,LAL,5.0,G,6-4,200,North Carolina,USA
Naji Marshall,NOP,8.0,F,6-7,220,Xavier,USA
Rawle Marshall,IND,2.0,G-F,6-7,190,Oakland,USA
Tom Marshall,SAC,20.0,F,6-4,215,Western Kentucky,USA
Vester Marshall,OKC,45.0,F,6-7,200,Oklahoma,USA
Bill Martin,IND,26.0,F,6-7,205,Georgetown,USA
Bob Martin,LAC,42.0,C,7-0,250,Minnesota,USA
Brian Martin,POR,35.0,F,6-9,212,Kansas,USA
Caleb Martin,MIA,16.0,F,6-5,205,Nevada,USA
Cartier Martin,WAS,35.0,F,6-7,220,Kansas State,USA
Cody Martin,CHA,11.0,F,6-6,205,Nevada,USA
Cuonzo Martin,MEM,40.0,G-F,6-6,215,Purdue,USA
Darrick Martin,LAC,2.0,G,5-11,170,UCLA,USA
Don Martin,BOM,,C,6-7,210,Central Missouri,USA
Donald Martin,PRO,,G,5-8,160,Georgetown,USA
Fernando Martin,POR,10.0,C,6-9,220,Real Madrid,Spain
Jarell Martin,MEM,2.0,F,6-10,239,Louisiana State,USA
Jeff Martin,LAC,15.0,G,6-5,195,Murray State,USA
Jeremiah Martin,CLE,3.0,G,6-2,185,Memphis,USA
Kelan Martin,NOP,21.0,F,6-5,230,Butler,USA
Kenyon Martin,DEN,3.0,F,6-9,225,Cincinnati,USA
Kevin Martin,SAC,23.0,G,6-7,199,Western Carolina,USA
Larue Martin,POR,35.0,C,6-11,208,Loyola-Chicago,USA
Mo Martin,DEN,11.0,G,6-6,200,St. Joseph's (PA),USA
Phil Martin,ATL,6.0,G,6-3,190,Toledo,USA
Ronald Martin,NYK,7.0,G,6-2,185,St. Bonaventure,USA
Slater Martin,LAL,22.0,G,5-10,170,Texas-Austin,USA
Tyrese Martin,ATL,22.0,G,6-6,215,Connecticut,USA
Kenyon Martin Jr.,HOU,6.0,F,6-7,215,IMG Academy (FL),USA
Jamal Mashburn,DAL,24.0,F,6-8,247,Kentucky,USA
Al Masino,ATL,12.0,G,5-10,174,Canisius,USA
Anthony Mason,NYK,17.0,F,6-8,255,Tennessee State,USA
Desmond Mason,MIL,34.0,G-F,6-5,222,Oklahoma State,USA
Frank Mason III,SAC,15.0,G,5-11,190,Kansas,USA
Roger Mason Jr.,WAS,8.0,G,6-5,205,Virginia,USA
Tony Massenburg,MEM,34.0,F-C,6-9,250,Maryland,USA
Eddie Mast,NYK,25.0,F,6-9,220,Temple,USA
Yante Maten,MIA,0.0,F,6-8,240,Georgia,USA
Garrison Mathews,ATL,25.0,G,6-6,215,Lipscomb,USA
Mangok Mathiang,CHA,9.0,F-C,6-10,230,Louisville,Australia
Dakota Mathias,MEM,33.0,G,6-4,200,Purdue,USA
Bennedict Mathurin,IND,0.0,G-F,6-5,210,Arizona,Canada
Wes Matthews,ATL,1.0,G,6-1,170,Wisconsin,USA
Wesley Matthews,MIL,23.0,G,6-5,220,Marquette,USA
Ariel Maughan,BOM,,F,6-4,190,Utah State,USA
Marlon Maxey,MIN,25.0,F,6-8,250,Texas-El Paso,USA
Tyrese Maxey,PHI,0.0,G,6-2,200,Kentucky,USA
Jason Maxiell,DET,54.0,F,6-7,260,Cincinnati,USA
Cedric Maxwell,BOS,31.0,F,6-8,205,North Carolina-Charlotte,USA
Vernon Maxwell,HOU,3.0,G,6-4,190,Florida,USA
Don May,ATL,23.0,F,6-4,200,Dayton,USA
Scott May,CHI,24.0,F,6-6,215,Indiana,USA
Sean May,CHA,42.0,C-F,6-9,266,North Carolina,USA
Lee Mayberry,MIL,11.0,G,6-1,180,Arkansas,USA
Clyde Mayes,MIL,22.0,F,6-8,225,Furman,USA
Tharon Mayes,PHI,8.0,G,6-3,175,Florida State,USA
Bill Mayfield,GSW,36.0,F,6-7,205,Iowa,USA
Ken Mayfield,NYK,16.0,G,6-2,185,Tuskegee,USA
Eric Maynor,OKC,6.0,G,6-3,175,Virginia Commonwealth,USA
O. J.Mayo,MEM,3.0,G,6-5,210,Southern California,USA
Skylar Mays,ATL,4.0,G,6-4,205,Louisiana State,USA
Travis Mays,SAC,1.0,G,6-2,190,Texas-Austin,USA
Matt Mazza,SHE,,F,6-3,210,Michigan State,USA
Luc Mbah a Moute,MIL,12.0,F,6-8,230,UCLA,Cameroon
D JMbenga,LAL,28.0,C,7-0,255,Spirou Charleroi,Belgium
Bob McAdoo,LAC,11.0,C,6-9,210,North Carolina,USA
James  MichaelMcAdoo,GSW,20.0,F,6-9,240,North Carolina,USA
Ken McBride,ATL,4.0,F,6-3,190,Maryland-Eastern Shore,USA
Miles McBride,NYK,2.0,G,6-2,195,West Virginia,USA
Tahjere McCall,BKN,6.0,G,6-5,190,Tennessee State,USA
Ray McCallum,SAC,3.0,G,6-3,190,Detroit,USA
Bob McCann,MIN,55.0,F,6-7,245,Morehead State,USA
Brendan McCann,NYK,3.0,G,6-2,178,St. Bonaventure,USA
Mel McCants,LAL,49.0,F,6-8,240,Purdue,USA
Rashad McCants,MIN,7.0,G,6-4,215,North Carolina,USA
Mike McCarron,HUS,,G,5-11,180,Seton Hall,USA
Andre McCarter,SAC,33.0,G,6-3,190,UCLA,USA
Willie McCarter,LAL,17.0,G,6-3,175,Drake,USA
Johnny McCarthy,ATL,21.0,G,6-1,185,Canisius,USA
Howie McCarty,DEF,,,,,Wayne State,USA
Kelly McCarty,DEN,11.0,G-F,6-7,200,Southern Mississippi,USA
Walter McCarty,BOS,0.0,F,6-10,245,Kentucky,USA
Amal McCaskill,PHI,0.0,C,6-11,235,Marquette,USA
Patrick McCaw,TOR,22.0,G,6-7,181,UNLV,USA
Dwayne McClain,IND,44.0,G,6-6,185,Villanova,USA
"Ted,  Hound DogMcClain",DEN,12.0,G,6-1,180,Tennessee State,USA
Dan McClintock,DEN,50.0,C,7-0,270,Northern Arizona,USA
Jack McCloskey,GSW,,G,6-2,190,Pennsylvania,USA
George McCloud,IND,21.0,F,6-8,230,Florida State,USA
Mac McClung,PHI,9.0,G,6-2,185,Texas Tech,USA
C JMcCollum,NOP,3.0,G,6-3,190,Lehigh,USA
John McConathy,ATL,15.0,F,6-5,195,Northwestern State,USA
Paul McConnell,ATL,,G,5-10,170,Marshall,USA
T. J.McConnell,IND,9.0,G,6-1,190,Arizona,USA
Keith McCord,WAS,22.0,G,6-7,210,Alabama-Birmingham,USA
Tim McCormick,OKC,44.0,C,6-11,240,Michigan,USA
Jelani McCoy,OKC,42.0,F,6-10,255,UCLA,USA
Paul McCracken,HOU,7.0,G,6-4,180,California State-Northridge,USA
Chris McCray,MIL,12.0,G,6-5,192,Maryland,USA
Rodney McCray,HOU,22.0,F,6-8,220,Louisville,USA
Scooter McCray,OKC,20.0,F,6-9,215,Louisville,USA
Erik McCree,UTA,21.0,F,6-8,225,Louisiana Tech,USA
Chris McCullough,BKN,1.0,F,6-9,215,Syracuse,USA
John McCullough,PHX,8.0,G,6-4,190,Oklahoma,USA
Clint McDaniel,SAC,20.0,G,6-4,180,Arkansas,USA
Xavier McDaniel,OKC,34.0,F,6-7,218,Wichita State,USA
Jaden McDaniels,MIN,3.0,F,6-9,185,Washington,USA
Jalen McDaniels,PHI,7.0,F-C,6-9,205,San Diego State,USA
Jim McDaniels,OKC,44.0,C,6-11,228,Western Kentucky,USA
K JMcDaniels,HOU,14.0,G-F,6-6,205,Clemson,USA
Doug McDermott,SAS,17.0,F,6-6,225,Creighton,USA
Sean McDermott,MEM,30.0,F,6-6,195,Butler,USA
Ben McDonald,GSW,30.0,F,6-8,210,California-Irvine,USA
Glenn McDonald,BOS,13.0,F,6-6,190,Long Beach State,USA
Michael McDonald,CHA,42.0,C,6-10,232,New Orleans,USA
Hank McDowell,LAC,41.0,F,6-9,215,Memphis,USA
Antonio McDyess,DET,34.0,F-C,6-9,245,Alabama,USA
Jim McElroy,UTA,33.0,G,6-3,190,Central Michigan,USA
Ivan McFarlin,PHI,,F,6-7,229,Oklahoma State,USA
Mel McGaha,NYK,8.0,G,6-1,190,Arkansas,USA
Mitch McGary,OKC,33.0,F,6-10,255,Michigan,USA
Ja ValeMcGee,DAL,0.0,C-F,7-0,270,Nevada,USA
Mike McGee,LAL,40.0,F,6-5,190,Michigan,USA
Bill McGill,NYK,40.0,C,6-9,225,Utah,USA
George McGinnis,PHI,30.0,F,6-8,235,Indiana,USA
